"","ids","mzs","RTs","Int"
"FT0191","FT0191",132.101715127881,84.4785868375719,21026821316.8738
"FT0144","FT0144",118.08614107588,51.7017854877516,11915770596.168
"FT0293","FT0293",166.086093706007,167.633520954577,8465853106.80344
"FT0242","FT0242",150.058193581641,58.0193399248096,4172716565.02947
"FT0135","FT0135",116.070595800696,45.6646382097806,2939500717.34919
"FT0058","FT0058",86.096369540784,83.8957664552154,2175041899.44755
"FT0343","FT0343",182.081082331813,65.8719890902875,1225085245.91215
"FT0153","FT0153",120.080677612403,139.975458092823,1080523647.69331
"FT0289","FT0289",164.984398560041,612.508869049373,1061185856.42223
"FT0182","FT0182",130.049793938506,63.4507129624592,1022275586.76272
"FT0297","FT0297",167.089066134088,139.67445738977,1011381093.68464
"FT0287","FT0287",164.9843462015,765.552033357857,1006257266.1129
"FT0465","FT0465",235.11882339798,61.6356766775807,1002283538.14319
"FT0230","FT0230",147.112652204111,40.2434184993545,921417443.077326
"FT0675","FT0675",327.68210321014,164.217936158507,911182707.532868
"FT0122","FT0122",113.034541056929,60.3047216425529,777897646.344486
"FT0348","FT0348",183.610423791992,196.921332051525,758384670.722422
"FT0164","FT0164",124.03921384055,55.3120228396246,700831633.702967
"FT0484","FT0484",242.284111752478,608.070723311587,682079597.922368
"FT0163","FT0163",123.055186987657,51.1018492911354,647944375.391481
"FT0285","FT0285",163.976585597528,780.810141287763,478338326.642348
"FT0382","FT0382",197.128323683206,284.275246980065,463537933.358826
"FT0517","FT0517",254.160964776036,109.407591303891,742505385.050022
"FT0409","FT0409",211.143954752719,340.007517875177,345184816.110677
"FT0493","FT0493",245.128344058509,366.622407770933,332928361.377247
"FT0537","FT0537",263.17338852964,220.105843094647,327903325.787076
"FT0070","FT0070",89.1072885406579,36.3094760492733,324899359.768945
"FT0597","FT0597",288.67871766258,365.7127343882,318208299.239505
"FT0678","FT0678",328.183220192868,163.911271906638,310553000.704845
"FT0147","FT0147",119.089200496273,51.7017854877516,527245030.326669
"FT0094","FT0094",101.096081931217,706.842603363851,285876583.513857
"FT0304","FT0304",169.096803796359,145.809722994085,276560818.232931
"FT0246","FT0246",151.060880486399,57.4174665872994,253258809.246843
"FT0378","FT0378",196.002750114439,779.024748951915,243839386.369403
"FT0255","FT0255",154.08365622449,85.3791147618528,228896351.765405
"FT0514","FT0514",251.150435628265,111.314096472237,214238219.519295
"FT0524","FT0524",259.245173504582,669.385079522464,201156029.934528
"FT0074","FT0074",90.976653399023,39.0322169058874,346081859.431347
"FT0137","FT0137",116.985958203302,33.5870893623898,193746557.377012
