"","ids","mzs","RTs","170424_FDC_STDMIX_A1_1_PosIon.mzML","170424_FDC_STDMIX_A1_2_PosIon.mzML","170424_FDC_STDMIX_A1_3_PosIon.mzML","170424_FDC_STDMIX_A1_4_PosIon.mzML","170424_FDC_STDMIX_A1_5_PosIon.mzML","170424_FDC_STDMIX_A1_6_PosIon.mzML","170424_FDC_STDMIX_A1_7_PosIon.mzML","170424_FDC_STDMIX_B1_1_PosIon.mzML","170424_FDC_STDMIX_B1_2_PosIon.mzML","170424_FDC_STDMIX_B1_3_PosIon.mzML","170424_FDC_STDMIX_B1_4_PosIon.mzML","170424_FDC_STDMIX_B1_5_PosIon.mzML","170424_FDC_STDMIX_B1_6_PosIon.mzML","170424_FDC_STDMIX_B1_7_PosIon.mzML","170424_FDC_STDMIX_C1_1_PosIon.mzML","170424_FDC_STDMIX_C1_2_PosIon.mzML","170424_FDC_STDMIX_C1_3_PosIon.mzML","170424_FDC_STDMIX_C1_4_PosIon.mzML","170424_FDC_STDMIX_C1_5_PosIon.mzML","170424_FDC_STDMIX_C1_6_PosIon.mzML","170424_FDC_STDMIX_C1_7_PosIon.mzML","170424_FDC_STDMIX_D1_1_PosIon.mzML","170424_FDC_STDMIX_D1_2_PosIon.mzML","170424_FDC_STDMIX_D1_3_PosIon.mzML","170424_FDC_STDMIX_D1_4_PosIon.mzML","170424_FDC_STDMIX_D1_5_PosIon.mzML","170424_FDC_STDMIX_D1_6_PosIon.mzML","170424_FDC_STDMIX_D1_7_PosIon.mzML","170424_FDC_QCPool_01_PosIon.mzML","170424_FDC_QCPool_02_PosIon.mzML","170424_FDC_QCPool_03_PosIon.mzML","170424_FDC_QCPool_04_PosIon.mzML","170424_FDC_QCPool_05_PosIon.mzML","170424_FDC_QCPool_05_PosIon_170425014753.mzML","170424_FDC_QCPool_06_PosIon.mzML"
"FT0191","FT0191",132.101715127881,84.4785868375719,30105261159.5889,29914860747.8791,30049942399.6755,30544704751.808,18866342709.4054,30025383117.5665,30224402132.8502,24678970368.9492,20693914.1216047,18153042.0967437,21359920.0540543,20961003.939179,24454285580.6458,20688743.5513827,27461078710.716,27507288335.9981,27415278596.6136,27359231460.6687,22883485.0775429,21332818.7486095,27505949105.6094,23735868234.8055,23792388194.7423,23913944497.7575,23946376979.1718,23839118725.3047,23736742937.6127,23628048217.9168,27679938821.1359,27592335913.4169,27615833314.1551,27644135577.2138,27724539414.0227,27509599164.4737,17320823993.2913
"FT0144","FT0144",118.08614107588,51.7017854877516,7970368058.11579,8618319529.47711,7852919883.5768,8321667574.03719,5409427661.20811,7716938788.82523,7732704690.00818,26356191090.9294,26619122207.5076,25320542188.5034,26540933458.1872,16195479.8926972,26355363174.3955,26497710669.2808,27205412.9686879,26011894.7406213,26455126.605988,25261504.7717672,25377852.5096721,26125070.2497169,27078572.0156901,8102419733.82916,7414618168.53899,8130344791.65191,8045664948.85286,7474864705.04403,7442644406.95478,8199082519.34039,21987362488.2879,21999970711.6772,22232816737.0853,22563134351.7554,22478015972.0298,22535345868.7967,16933765574.2274
"FT0293","FT0293",166.086093706007,167.633520954577,11647486172.5459,11769450600.7219,11674677670.2724,11772320607.8396,6730038016.21297,11611817130.4357,11614287253.3929,10524376708.8577,175262081.703239,9960822173.88006,10789107222.0285,10651428437.139,175862412.166805,10508361310.704,10852973803.7853,10762120968.9589,888909.722990973,10525519259.5253,10811215014.9606,10801550737.224,852955.935129523,10346449473.1343,10341077713.1822,10110936419.626,10028921281.6855,10197434751.3142,10273487903.6947,10282752912.8225,11616539296.2738,11239373428.2576,180633394.604155,184077339.651823,11345303997.287,174136785.022494,6623314593.55117
"FT0242","FT0242",150.058193581641,58.0193399248096,4796737139.6431,4790302413.35486,4834120644.27026,4885392438.902,3060291609.87039,4813074407.87603,4943417502.46389,6767682726.20599,6836753824.4553,6351865834.47296,6841686343.98331,6780379181.58134,6746604233.85125,6672906452.16291,2390979773.27372,2448890126.69552,2421915447.47304,2452375628.63015,2398353656.30169,2404369377.19741,2449116739.34001,2662943437.39724,2619463260.99606,2670611023.29644,2616893174.33085,2670623150.72824,2622167020.29862,2654221594.80241,4831941890.82773,4877001146.13972,4811342472.51015,4753247352.85411,4687456962.72637,4563377101.67588,2916574685.4426
"FT0135","FT0135",116.070595800696,45.6646382097806,6899985026.61628,6810218894.79363,6913595567.15464,6785740506.25224,4289197939.39593,6887516594.1209,6861734762.73574,449125099.687939,470982511.443249,413885197.887241,472211538.843753,437710323.542093,447222017.759117,453376131.589675,4098995792.2648,4062962190.04672,4104776788.59453,4016637343.62137,4041105735.25804,3959135186.1956,4064408755.43356,449324701.963367,455663337.054178,455715758.514908,456688209.559158,456386538.782077,457509828.423793,459929255.169272,3426678845.81569,3437970921.53696,3442198384.51975,3455552097.05458,3462159327.99296,3325076694.14607,2201147303.45174
"FT0058","FT0058",86.096369540784,83.8957664552154,2672356558.18719,2628130509.3485,2606782049.32226,2581826444.2587,1643028779.55562,2684480764.538,2629997500.26216,2233274536.3661,2248425586.75865,2007098582.09536,2226477548.05063,2167239243.0778,2203232733.32896,2199825173.0477,2455632361.252,2418407288.06572,2433303407.49462,13003626.9799007,2347190147.44574,2349340540.58174,2441657381.9605,2129396606.98269,2141303598.34484,2127820316.59138,2120863558.64478,2134791235.85704,35170552.0933913,2118883220.21079,2372321583.66739,2351690737.78676,2413880232.62231,2435000577.5486,2477118435.93998,2501900324.62051,1575614737.77607
"FT0343","FT0343",182.081082331813,65.8719890902875,1183474.77283385,1273430330.06452,1294485265.65686,1256420159.3716,759718281.850513,1295403864.47938,1283056769.96997,1008905.22433646,1513016962.58749,1374866815.07614,1489231272.46562,1484241851.59549,1433047720.46667,1492262817.66043,1210595004.94679,1191886317.93375,1208884037.76114,1201440859.20795,1236929431.25485,1180616033.71094,1231311404.02854,1315501233.95135,1313511467.3379,1335583422.12009,1308177040.46245,1317680936.1684,1311573261.35436,1341302819.6396,1394770015.99929,1390472145.68141,1412561788.02042,1429587736.04294,1370969619.55516,1408091473.51841,815163066.987612
"FT0153","FT0153",120.080677612403,139.975458092823,1186526297.55253,1186692049.89562,1171499104.26902,1179901981.7957,686377801.773872,1203843417.88704,1147001551.23413,1078231627.21186,1103053049.80198,1012094352.28647,1097903188.06792,1075439590.56871,1095532827.83283,1073266852.03349,1114688610.99938,1093046824.02799,1119132554.63358,1066525993.44867,1101588084.75637,1092007541.39615,1092021578.0807,1053555096.86498,1054569817.52994,1018725942.34779,1013031045.70504,1037623466.97434,1053620316.8011,1047598467.00142,1162325336.20632,1121550860.10489,1162717509.05266,1130253757.90133,1163735898.13249,1147480377.34061,675164897.748808
"FT0289","FT0289",164.984398560041,612.508869049373,30944085.4880942,1880387722.85166,41870888.063305,42735602.5113385,996899.400473739,31954304.9200034,30234291.4446432,1034482460.61953,2411469334.5478,1891669557.9549,2138253498.88832,565632044.919525,1960501207.60997,27911033.1120006,585341610.30421,2851925463.59037,3162265473.42553,29608583.6800432,28744372.7015049,2789580494.61133,29588980.7839219,1830359007.29518,30865316.1599983,575730164.159402,1295990294.12265,1059984185.03031,2459254980.52354,568784779.362524,21046215.8231993,20947623.7005006,37619902.199878,2831908816.80584,40042789.1437775,2283201286.50578,2519671702.51702
"FT0182","FT0182",130.049793938506,63.4507129624592,1078398375.79226,1094954470.27652,1063306088.61348,1073234558.17163,703807100.265295,1062265074.92661,1081996415.09662,694593992.858232,669226373.905523,638021437.746733,679844789.139099,675756774.227186,674889012.665284,659919016.439543,1361856215.09237,1375684580.68711,1381586038.47489,1344890253.02935,1383936253.92646,1344919112.49264,1383662666.15228,1107552497.80459,1131969322.33415,1094198097.38628,1119296968.33689,1120139144.76733,1104716468.64341,1112874671.11773,954333837.670655,972921638.852203,994194931.41308,998959101.862492,1018309557.6728,986984418.229361,636446280.625055
